;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
272;30;BW 16;14,468113048186598;6351,548842105263;19;0,18869518195208243;6382,551;6335,408;12,872790180424817;2,9532206062039204
273;31;BW 16;14,997440210211128;6353,86548;25;0,16947414361404936;6379,802;6335,194;15,043449518865856;3,0086899037731714
274;32;BW 16;15,52233990642619;6349,793692307692;13;0,15275832820894591;6368,926;6334,781;9,715188412863373;2,694508459490193
275;33;BW 16;15,948614033660991;6352,091153846153;13;0,14088499063787294;6379,986;6334,831;15,15412585099155;4,202998291583415
276;34;BW 16;16,46224933750623;6355,145571428571;7;0,12816658922079344;6378,133;6340,921;15,824618150813267;5,981143459944388
277;35;BW 16;16,966886028848847;6353,883000000001;7;0,11704412936285201;6380,272;6339,685;16,051022158521068;6,066716131404844
278;36;BW 16;17,550938960068308;6350,744500000001;8;0,10569158797841441;6381,071;6340,039;13,839049699001144;4,892842943670679
279;37;BW 16;17,961632463627648;6351,469833333333;6;0,09861742829644378;6370,993;6343,52;10,994776312716397;4,488598633699045
280;39;BW 16;19,01029450962145;6350,432333333333;3;0,08316749242778142;6360,615;6343,927;8,931092952899593;5,15636892051415
281;43;BW 16;20,870683323427976;6362,80625;4;0,06297316819767235;6380,454;6345,017;19,88319689880568;9,94159844940284
282;44;BW 16;21,588789672822315;6355,406666666667;3;0,056829692889907545;6374,863;6344,468;16,893104816265705;9,753238613119569
283;44;BW 16;21,487350901721044;6341,918666666667;3;0,057516028358795254;6343,876;6339,864;2,0077702391794143;1,1591866880611543
284;7;BW 17;3,10511536614468;-2,2387692307692313;13;-0,006728108057858301;37,91;-36,377;22,536471367370442;6,250492544852321
285;8;BW 17;3,5260393688979788;55,32905263157894;57;0,11355561478742486;139,499;-31,229;40,30713455298181;5,3388103935998865
286;9;BW 17;4,00947821175165;150,45260317460318;126;0,21001629025228083;299,86;34,587;53,54833819301279;4,770465122603701
287;10;BW 17;4,513508728875714;289,5871204819275;166;0,2833695836840171;453,881;113,427;61,55424784936086;4,777536182773934
288;11;BW 17;4,997477788774694;439,9259776536312;179;0,317134755420705;653,332;271,441;69,11244484700158;5,165706662453168
289;12;BW 17;5,488206671210726;629,663255208333;192;0,34271556399692116;893,664;381,56;85,98178647119084;6,20520094556837
290;13;BW 17;5,999609523611966;863,6722205128203;195;0,35982956449427295;1241,039;633,469;109,74946527069599;7,859322449821958
291;14;BW 17;6,495098972722103;1137,4600675675676;148;0,3735043712469031;1537,279;839,942;156,44471447900423;12,859676314812033
292;15;BW 17;6,994899900244353;1472,1811151079137;139;0,38702015295579323;2079,866;1174,126;165,52341078132213;14,039512462758779
293;16;BW 17;7,487575419534588;1860,784691780822;146;0,3988314014366973;2381,297;1469,899;195,50234596841184;16,179889275903506
294;17;BW 17;7,988598385922203;2310,4685120481936;166;0,4077604868782541;2953,108;1754,674;204,42476883367118;15,866439179764944
295;18;BW 17;8,519771325734306;2844,6198975903612;166;0,41386364503091655;3630,905;2257,753;247,51383287305524;19,210799150401122
296;19;BW 17;8,986082208624534;3336,4012676056345;142;0,4136985179436381;4095,427;2680,803;254,5689033036413;21,362947805444822
297;20;BW 17;9,494327133023106;3900,173234234235;111;0,41002295634358416;4643,528;3285,33;294,1357844743865;27,918133167079773
298;21;BW 17;10,002576812413162;4517,9978440366995;109;0,40618808863142725;5232,02;3885,181;313,6478976186744;30,042020064351888
299;22;BW 17;10,511195949198058;5156,230039473685;76;0,39947788107430415;5958,467;4346,594;337,1914436579686;38,678511250833516
300;23;BW 17;11,000245766116763;5690,90153030303;66;0,3846721600091428;6289,976;4984,574;313,46005957698486;38,58426609580153
301;24;BW 17;11,495117554166725;6139,138047619046;63;0,3636503402076937;6378,166;5508,943;231,68331348572246;29,18935382888756
302;25;BW 17;11,98558787605871;6299,071425925925;54;0,32916629661716323;6381,504;5720,813;128,2761787657384;17,456176896116528
303;26;BW 17;12,501956401078798;6360,564362068964;58;0,2928724775973234;6382,487;6101,18;47,37208338388481;6,220259286271249
304;27;BW 17;13,003075375770575;6365,951255319148;47;0,2605205092267077;6382,023;6338,915;13,719341672740507;2,0011716564510045
305;28;BW 17;13,50025463711278;6361,347625000001;32;0,23261627577937566;6380,867;6340,017;13,02014780093025;2,3016587005222235
306;29;BW 17;14,070576923663673;6348,581777777778;18;0,20504909344072614;6381,572;6306,677;16,41096951846379;3,868102610783826
307;30;BW 17;14,515420488004162;6353,0829523809525;21;0,18690138180145952;6378,901;6338,789;11,572062346341657;2,5252310308980443
308;31;BW 17;14,965997749130748;6347,757857142856;14;0,1703806123270795;6374,492;6341,24;8,730644763018534;2,333362962060537
309;32;BW 17;15,507422997022498;6356,142944444446;18;0,15335276303467904;6381,705;6341,295;14,295463297112203;3,3694730125304804
310;33;BW 17;15,987398659101805;6347,338500000001;8;0,13975749106039934;6370,298;6336,705;10,417964594186191;3,683306705355207
311;34;BW 17;16,44390479360649;6354,785214285715;14;0,12858871759283974;6382,902;6338,066;14,72799543610535;3,936222351134034
312;35;BW 17;16,90335814818095;6352,2218571428575;7;0,11833780987335761;6376,9;6342,964;13,81862117372252;5,222947869640181
313;36;BW 17;17,461247056468423;6358,5385;4;0,10746038284636356;6380,903;6343,964;16,581477226110167;8,290738613055083
314;37;BW 17;18,025822073684132;6359,9784;5;0,09769835479625083;6380,414;6343,964;13,303646090452267;5,949571401370116
315;38;BW 17;18,452454270153236;6356,594;3;0,09102881940721563;6380,872;6343,591;21,04310953732859;12,149244955963443
316;40;BW 17;19,57478024922998;6345,7744;5;0,07612210551390543;6348,874;6344,164;2,1484976844296235;0,9608373743771059
317;41;BW 17;19,94716525488472;6350,757749999999;4;0,071994420382316;6378,921;6335,509;19,246980254488747;9,623490127244374
318;42;BW 17;20,531528631623587;6352,52375;4;0,0660388180828854;6375,474;6341,81;15,454081497024342;7,727040748512171
319;7;BW 18;3,1739686233895235;-3,4613333333333336;6;-0,009739852655468078;28,278;-22,348;18,554950710434845;7,575026907176267
320;8;BW 18;3,5622887112337236;41,583052631578944;57;0,08276483884558407;132,152;-23,881;37,534279101823834;4,971536716947594
321;9;BW 18;4,020150165549234;134,8696923076923;104;0,18676882620362623;271,869;24,055;49,81839808318116;4,885095845424503
322;10;BW 18;4,505102992713125;253,15465624999985;160;0,2491085291630599;402,079;101,396;57,77678283482672;4,567655740874311
323;11;BW 18;5,017156425610972;412,1101199999999;175;0,2936007792644297;734,885;220,463;75,35897923595776;5,696603374686415
324;12;BW 18;5,493097076326677;599,6731473684207;190;0,3255214635396846;1103,434;414,086;101,38300647669361;7,355096336359071
325;13;BW 18;6,009489076561528;837,8437165775402;187;0,3473499305936869;1279,465;614,519;115,83118583306704;8,470415205366708
