;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density
165;2,55;1,92;-22,125;8,26;35,86;1,2373575198120537
166;2,54;0,57;-7,726;8,19;45,01;1,2376598520886168
167;5,11;2,44;66,896;7,93;31,52;1,238783903113274
168;4,27;6,47;199,936;7,74;1,36;1,2396064233921695
169;2,69;2,68;-24,208;7,84;28,89;1,239173402388732
170;2,66;0,04;-9,914;7,83;45,01;1,2392166929304709
171;2,93;0,49;-10,048;7,86;45,01;1,2390868290115904
172;3,42;2,19;-2,796;7,82;30,37;1,2392599860409224
173;3,98;6,48;160,438;7,83;1,46;1,2392166929304709
174;5,1;6,48;500,384;7,68;0,89;1,2398663592737869
175;5,24;6,47;467,631;7,66;0,97;1,2399530251117623
176;5,04;6,48;452,419;7,67;1,03;1,2399096909088296
177;4,91;6,48;458,352;7,7;1,05;1,2397797037075824
178;4,67;6,48;346,395;7,74;1,36;1,2396064233921695
179;5,69;6,53;694,483;7,64;0,39;1,2400397012210835
180;5,45;6,48;622,515;7,5;0,47;1,2406467215475776
181;5,09;6,48;514,854;7,5;0,82;1,2406467215475776
182;4,98;6,48;474,613;7,5;0,91;1,2406467215475776
183;5,08;6,48;493,825;7,45;0,9;1,240863636459662
184;6,24;6,61;903,314;7,28;0,05;1,2416016270836363
185;5,96;6,54;756,361;7,27;0,16;1,2416450613905954
186;5,22;6,48;577,018;7,21;0,62;1,2419057211075737
187;5,5;6,52;708,789;7,15;0,35;1,2421664731722812
188;5,37;6,49;650,161;7,18;0,45;1,2420360855973165
189;5,04;6,48;513,895;7,19;0,84;1,2419926282022926
190;4,89;6,48;441,989;7,13;1,04;1,2422534110465255
191;4,57;6,48;337,45;7,17;1,38;1,2420795455573652
192;4,55;6,48;358,443;7,15;1,12;1,2421664731722812
193;5,3;6,49;627,444;7,18;0,52;1,2420360855973165
194;5,01;6,48;394,969;7,18;1,16;1,2420360855973165
195;4,49;6,47;290,747;7,16;1,34;1,2421230080823749
196;4,18;6,48;232,116;7,21;1,49;1,2419057211075737
197;4,61;6,48;331,636;7,16;1,35;1,2421230080823749
198;4,32;6,49;349,381;7,25;0,99;1,2417319377012228
199;5,67;6,48;657,596;7,1;0,35;1,2423838370929987
200;5,14;6,48;479,308;7,09;0,95;1,2424273175709242
201;4,25;6,48;243,779;7,14;1,47;1,2422099408270195
202;3,65;6,48;99,207;7,15;1,51;1,2421664731722812
203;3,3;6,48;34,605;7,19;1,51;1,2419926282022926
204;3,45;6,48;95,404;7,17;1,5;1,2420795455573652
205;3,5;6,48;88,963;7,24;1,51;1,2417753797047673
206;3,41;6,48;63,059;7,5;1,51;1,2406467215475776
207;3,74;6,48;112,201;7,23;1,52;1,2418188242737158
208;3,58;6,48;65,137;7,59;1,52;1,2402564364287034
209;3,82;6,48;110,713;7,66;1,52;1,2399530251117623
210;4,16;6,48;178,796;7,43;1,52;1,2409504203915769
211;3,96;6,48;137,861;7,79;1,52;1,2393898807840547
212;3,95;6,48;146,672;7,76;1,52;1,2395197986437945
213;3,86;6,48;155,469;8,0;1,52;1,2384811031056937
214;4,42;6,48;273,839;7,96;1,45;1,2386541162653122
215;4,5;6,48;293,377;7,97;1,37;1,238610859121278
216;4,83;6,48;413,056;7,52;1,16;1,2405599735510298
217;4,53;6,48;250,386;7,73;1,44;1,2396497396187673
218;4,43;6,48;280,999;7,55;1,49;1,2404298708093606
219;4,15;6,48;206,967;7,1;1,5;1,2423838370929987
220;3,94;6,48;149,789;6,85;1,51;1,243471618218802
221;3,38;6,48;53,629;6,76;1,51;1,243863611588514
222;4,03;6,48;152,528;6,71;1,51;1,2440814753612168
223;4,38;6,48;246,951;6,62;1,42;1,2444737915375144
224;4,61;6,48;322,945;6,4;1,44;1,2454336598524967
225;4,82;6,48;437,571;6,26;1,12;1,2460451301535573
226;4,51;6,48;262,811;6,21;1,43;1,2462636339296262
227;4,39;6,48;271,452;6,12;1,38;1,2466571018577606
228;3,94;6,47;132,506;6,08;1,51;1,2468320429774558
229;3,56;6,48;31,523;6,2;1,51;1,2463073423584476
230;3,88;6,48;81,793;6,16;1,51;1,246482201649547
231;3,8;6,48;81,219;6,04;1,51;1,2470070250029377
232;4,42;6,48;278,575;5,88;1,28;1,2477073620466563
233;4,11;6,48;213,682;5,77;1,47;1,2481892231708709
234;3,16;5,45;17,684;5,8;9,75;1,248057775850583
235;3,03;0,64;-20,309;6,02;44,46;1,247094531353552
236;3,61;5,91;62,342;6,0;3,62;1,2471820479284492
237;4,71;6,48;334,546;6,02;1,17;1,247094531353552
238;4,78;6,48;364,633;5,94;1,29;1,2474446589915256
239;5,11;6,47;500,686;5,76;0,85;1,248233044051871
240;4,04;6,48;191,741;5,94;1,46;1,2474446589915256
241;4,29;6,47;241,165;5,95;1,37;1,2474008840921342
242;4,42;6,48;274,119;5,98;1,35;1,2472695747269
243;4,17;6,48;208,213;5,97;1,46;1,247313341959729
244;3,77;6,48;103,394;5,97;1,49;1,247313341959729
245;4,92;6,48;432,934;5,92;1,17;1,2475322164562217
246;5,14;6,48;509,431;5,89;0,78;1,2476635718166518
247;5,54;6,57;720,686;5,77;0,48;1,2481892231708709
248;4,96;6,47;426,61;5,78;1,08;1,2481454048435914
249;5,7;6,77;792,031;5,88;0,57;1,2477073620466563
250;6,06;6,57;858,366;5,89;0,07;1,2476635718166518
251;4,69;6,47;348,219;6,03;1,21;1,2470507769001642
252;3,99;6,48;150,077;6,26;1,51;1,2460451301535573
253;4,16;6,48;175,161;6,33;1,51;1,2457393323131072
254;5,51;6,5;662,28;6,36;0,4;1,2456083144756893
255;6,06;6,67;932,488;6,15;0,02;1,2465259228658399
256;5,72;6,64;829,717;6,1;0,28;1,2467445673040274
257;6,23;6,85;984,713;6,16;0,19;1,246482201649547
258;6,3;6,86;1038,732;6,1;0,04;1,2467445673040274
259;4,96;6,48;405,865;6,28;0,95;1,245957746549814
260;4,6;6,48;291,111;6,31;1,44;1,2458266903320567
261;4,58;6,47;351,307;6,34;1,33;1,2456956571417503
262;5,13;6,57;548,236;6,36;0,82;1,2456083144756893
263;5,67;6,51;654,352;6,36;0,56;1,2456083144756893
264;6,59;7,32;1334,756;6,25;0,01;1,2460888257927465
265;6,41;6,96;1092,599;6,25;0,07;1,2460888257927465
266;5,78;6,54;760,875;6,27;0,27;1,2460014370725518
267;5,34;6,49;608,18;6,34;0,58;1,2456956571417503
268;4,89;6,48;482,704;6,37;0,95;1,245564646981151
269;5,68;6,57;769,096;6,39;0,37;1,2454773196694726
270;5,32;6,48;617,127;6,36;0,52;1,2456083144756893
271;5,32;6,5;637,882;6,4;0,53;1,2454336598524967
272;5,85;6,71;847,213;6,39;0,34;1,2454773196694726
273;6,48;7,06;1181,241;6,37;0,01;1,245564646981151
274;7,06;7,87;1683,544;6,27;0,01;1,2460014370725518
275;7,25;7,87;1671,896;6,13;0,01;1,2466133729700348
276;6,7;7,25;1284,227;6,08;0,01;1,2468320429774558
277;7,04;7,9;1700,625;6,0;0,01;1,2471820479284492
278;6,22;6,97;1129,209;6,0;0,01;1,2471820479284492
279;7,29;7,81;1647,872;5,92;0,02;1,2475322164562217
280;6,19;6,87;1007,834;6,0;0,14;1,2471820479284492
281;5,92;6,57;819,461;5,96;0,11;1,2473571117481712
282;6,25;6,71;987,278;5,9;0,01;1,247619784141515
283;5,27;6,49;436,083;5,94;1,05;1,2474446589915256
284;3,75;6,47;88,911;6,11;1,51;1,2467008333024543
285;3,09;6,48;7,229;6,3;1,51;1,2458703731794818
286;3,22;6,48;22,858;6,36;1,51;1,2456083144756893
287;3,14;6,47;10,282;6,42;1,69;1,245346347896681
288;2,82;0,79;-10,699;6,61;44,87;1,2445173950302537
289;4,97;4,15;294,37;6,62;17,32;1,2444737915375144
290;5,18;6,52;465,451;6,61;1,04;1,2445173950302537
291;8,41;9,08;2647,207;5,77;0,0;1,2481892231708709
