;Identifier;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
2467;BW 08;4,9;4,36;257,077;3,68;16,88;1,257172479315417;4,9425264892484915;0,191572451220524;False;11,0;
2468;BW 08;5,19;6,47;532,429;3,6;0,8;1,2575455991193794;5,23556121968774;0,3338019162318428;True;11,0;
2469;BW 06;5,06;6,48;462,496;4,36;0,99;1,254007640167924;5,099628600143095;0,3137683879185533;True;11,0;
2470;BW 06;5,1;6,48;434,221;5,78;0,97;1,2474364047661957;5,1309480549005215;0,289224326939236;True;11,0;
2471;BW 05;5,13;6,57;548,236;6,36;0,82;1,2447666294311028;5,157445505743851;0,3595675213255535;True;11,0;
2472;BW 06;5,18;6,48;589,238;5,37;0,59;1,2493285911401306;5,214067188393949;0,3740052744431925;True;11,0;
2473;BW 07;4,88;6,48;446,698;8,2;1,07;1,2363493571675466;4,895024406821641;0,34266225852926935;True;11,0;
2474;BW 08;5,09;6,49;414,11;3,74;1,03;1,2568927486940213;5,133794649372647;0,27537029431529125;True;11,0;
2475;BW 05;4,89;6,48;482,704;6,37;0,95;1,2447206696996256;4,916100999289149;0,3655403785575826;True;11,0;
2476;BW 07;4,83;6,48;448,242;8,14;1,02;1,2366226130900622;4,845227377062276;0,3545576902809472;True;11,0;
2477;BW 06;5,03;6,47;468,339;5,48;1,0;1,2488205265272558;5,062394259191284;0,32479495818985366;True;11,0;
2478;BW 06;4,78;6,48;342,195;5,65;1,25;1,2480359205658325;4,809776492827315;0,2767042456549568;True;11,0;
2479;BW 08;4,76;6,47;335,979;3,49;1,26;1,2580589112957885;4,802439649382412;0,2729249472450001;True;11,0;
2480;BW 07;5,2;5,35;371,724;7,67;9,5;1,2387659175266352;5,219405794816045;0,23522000848867256;False;11,0;
2481;BW 06;4,76;6,48;370,234;5,49;1,23;1,2487743536039162;4,790596359613735;0,3029872884641405;True;11,0;
2482;BW 06;5,04;6,48;495,221;5,5;0,89;1,2487281831385455;5,072333631436775;0,3414227595763039;True;11,0;
2483;BW 08;4,91;6,48;346,787;3,41;1,32;1,2584324279078967;4,954267242165136;0,2565909707987847;True;11,0;
2484;BW 07;4,76;6,48;445,689;7,55;1,03;1,239313946569544;4,778468221762929;0,36752142237476504;True;11,0;
2485;BW 07;5,03;6,48;415,083;7,51;1,15;1,2394966960267972;5,04976397760005;0,29002708439364316;True;11,0;
2486;BW 06;5,05;6,55;509,724;5,27;1,05;1,2497907271326407;5,083838915821864;0,3490411159453606;True;11,0;
2487;BW 07;4,8;6,48;391,978;7,6;1,26;1,2390855611981628;4,818327400786656;0,31527506411604106;True;11,0;
2488;BW 07;5,06;6,48;477,078;8,2;0,92;1,2363493571675466;5,075578585761783;0,3282838896315569;True;11,0;
2489;BW 08;5,18;6,49;435,861;3,75;1,0;1,2568461360129861;5,224504428183108;0,27499801296795034;True;11,0;
2490;BW 08;5,09;6,48;493,062;2,83;0,85;1,2611454639534667;5,1395782214512;0,3267653080522337;True;11,0;
2491;BW 08;4,8;6,48;369,182;2,88;1,09;1,2609112305505332;4,8464534468835225;0,2917999624215711;True;11,0;
2492;BW 05;4,92;6,48;432,934;5,92;1,17;1,2467912324374357;4,949002270669238;0,32135538695743066;True;11,0;
2493;BW 05;5,08;6,48;457,267;4,33;0,96;1,254147015239503;5,119974905221747;0,3065372190063891;True;11,0;
2494;BW 05;4,97;6,48;420,007;4,2;1,13;1,2547512393468763;5,0099136088311935;0,30052642663007745;True;11,0;
2495;BW 05;5,14;6,48;509,431;5,89;0,78;1,2469294435931284;5,1704901616738;0,331594310742835;True;11,0;
2496;BW 06;4,89;6,48;406,802;6,02;1,15;1,2463306859640222;4,918219705541137;0,3076636248403949;True;11,0;
2497;BW 09;4,74;6,48;392,716;7,23;1,18;1,2407769713764722;4,760262333376031;0,3275689921996867;True;11,0;
