;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed
180;5,45;6,48;622,515;7,5;0,47;1,2395423891149293;5,471481482410542
181;5,09;6,48;514,854;7,5;0,82;1,2395423891149293;5,110062522104524
182;4,98;6,48;474,613;7,5;0,91;1,2395423891149293;4,9996289508999086
183;5,08;6,48;493,825;7,45;0,9;1,2397708889412395;5,100336470247278
184;6,24;6,61;903,314;7,28;0,05;1,2405482182480425;6,266289326618391
185;5,96;6,54;756,361;7,27;0,16;1,240593964250379;5,985183244681203
186;5,22;6,48;577,018;7,21;0,62;1,2408684888214416;5,242443099911247
187;5,5;6,52;708,789;7,15;0,35;1,241143096765376;5,524054380880068
188;5,37;6,49;650,161;7,18;0,45;1,2410057823603657;5,393286911902796
189;5,04;6,48;513,895;7,19;0,84;1,2409600155300655;5,061793646766429
190;4,89;6,48;441,989;7,13;1,04;1,2412346513055996;4,911507293340552
191;4,57;6,48;337,45;7,17;1,38;1,2410515515091203;4,589874150292296
192;4,55;6,48;358,443;7,15;1,12;1,241143096765376;4,569899533273511
193;5,3;6,49;627,444;7,18;0,52;1,2410057823603657;5,322983358116353
194;5,01;6,48;394,969;7,18;1,16;1,2410057823603657;5,031725778143949
195;4,49;6,47;290,747;7,16;1,34;1,241097322977175;4,509581682170072
196;4,18;6,48;232,116;7,21;1,49;1,2408684888214416;4,1979716777067075
197;4,61;6,48;331,636;7,16;1,35;1,241097322977175;4,630105023341655
198;4,32;6,49;349,381;7,25;0,99;1,2406854631883792;4,338360279113661
199;5,67;6,48;657,596;7,1;0,35;1,2413720005381677;5,695147955215757
200;5,14;6,48;479,308;7,09;0,95;1,2414177882649984;5,162860739941175
201;4,25;6,48;243,779;7,14;1,47;1,241188872874569;4,268639953812827
202;3,65;6,48;99,207;7,15;1,51;1,241143096765376;3,665963361856772
203;3,3;6,48;34,605;7,19;1,51;1,2409600155300655;3,314269649668495
204;3,45;6,48;95,404;7,17;1,5;1,2410515515091203;3,465003461380398
205;3,5;6,48;88,963;7,24;1,51;1,2407312161257402;3,5149184317901034
206;3,41;6,48;63,059;7,5;1,51;1,2395423891149293;3,4234407073431097
207;3,74;6,48;112,201;7,23;1,52;1,2407769713764722;3,7559875794992315
208;3,58;6,48;65,137;7,59;1,52;1,2391312337036566;3,5937133399109267
209;3,82;6,48;110,713;7,66;1,52;1,238811574071404;3,8343029005611626
210;4,16;6,48;178,796;7,43;1,52;1,2398623049343411;4,176756141774554
211;3,96;6,48;137,861;7,79;1,52;1,238218216323657;3,974192377184573
212;3,95;6,48;146,672;7,76;1,52;1,2383551109706603;3,964302621902773
213;3,86;6,48;155,469;8,0;1,52;1,2372605236060352;3,8728349947266896
214;4,42;6,48;273,839;7,96;1,45;1,2374428645832378;4,434914909943285
215;4,5;6,48;293,377;7,97;1,37;1,2373972759636462;4,515129414424107
216;4,83;6,48;413,056;7,52;1,16;1,239451005229048;4,848918551203918
217;4,53;6,48;250,386;7,73;1,44;1,2384920260379926;4,546570300739572
218;4,43;6,48;280,999;7,55;1,49;1,239313946569544;4,447187861850794
219;4,15;6,48;206,967;7,1;1,5;1,2413720005381677;4,168406351701128
220;3,94;6,48;149,789;6,85;1,51;1,2425173934650793;3,958691736834184
221;3,38;6,48;53,629;6,76;1,51;1,2429300932089802;3,396410997138678
222;4,03;6,48;152,528;6,71;1,51;1,2431594531876367;4,049816033938544
223;4,38;6,48;246,951;6,62;1,42;1,243572449770259;4,402024394781181
224;4,61;6,48;322,945;6,4;1,44;1,2445828048189873;4,634435348026723
225;4,82;6,48;437,571;6,26;1,12;1,2452263581675562;4,846383495609798
226;4,51;6,48;262,811;6,21;1,43;1,2454563123063682;4,534965752596324
227;4,39;6,48;271,452;6,12;1,38;1,2458703809855896;4,4147906191004616
228;3,94;6,47;132,506;6,08;1,51;1,2460544740499269;3,96244458729946
229;3,56;6,48;31,523;6,2;1,51;1,2455023103289524;3,579750960015716
230;3,88;6,48;81,793;6,16;1,51;1,2456863264294384;3,9017184607487514
231;3,8;6,48;81,219;6,04;1,51;1,2462386056749106;3,821835298420303
232;4,42;6,48;278,575;5,88;1,28;1,2469755188283993;4,446273929606302
233;4,11;6,48;213,682;5,77;1,47;1,247482506736378;4,134991429518134
234;3,16;5,45;17,684;5,8;9,75;1,2473442081285533;3,1790973325039023
235;3,03;0,64;-20,309;6,02;44,46;1,2463306859640222;3,047485829813833
236;3,61;5,91;62,342;6,0;3,62;1,2464227759129405;3,6309223761814
237;4,71;6,48;334,546;6,02;1,17;1,2463306859640222;4,737180943373979
238;4,78;6,48;364,633;5,94;1,29;1,2466991037839226;4,808058570310971
239;5,11;6,47;500,686;5,76;0,85;1,2475286111418837;5,141135403031082
240;4,04;6,48;191,741;5,94;1,46;1,2466991037839226;4,06371477490718
241;4,29;6,47;241,165;5,95;1,37;1,246653043089804;4,315129129619881
242;4,42;6,48;274,119;5,98;1,35;1,246514875528206;4,445726365114406
243;4,17;6,48;208,213;5,97;1,46;1,2465609289627622;4,194322906836866
244;3,77;6,48;103,394;5,97;1,49;1,2465609289627622;3,791989774286567
245;4,92;6,48;432,934;5,92;1,17;1,2467912324374357;4,949002270669238
246;5,14;6,48;509,431;5,89;0,78;1,2469294435931284;5,1704901616738
247;5,54;6,57;720,686;5,77;0,48;1,247482506736378;5,5736867444113045
248;4,96;6,47;426,61;5,78;1,08;1,2474364047661957;4,990098500452272
249;5,7;6,77;792,031;5,88;0,57;1,2469755188283993;5,733882669401792
250;6,06;6,57;858,366;5,89;0,07;1,2469294435931284;6,095947544697126
251;4,69;6,47;348,219;6,03;1,21;1,2462846446123999;4,7170074394478965
252;3,99;6,48;150,077;6,26;1,51;1,2452263581675562;4,011840279560808
253;4,16;6,48;175,161;6,33;1,51;1,2449045229508926;4,182410433794205
254;5,51;6,5;662,28;6,36;0,4;1,2447666294311028;5,539478506169322
255;6,06;6,67;932,488;6,15;0,02;1,245732336461205;6,093996127458241
256;5,72;6,64;829,717;6,1;0,28;1,2459624227009545;5,752442868296086
257;6,23;6,85;984,713;6,16;0,19;1,2456863264294384;6,2648726831094645
258;6,3;6,86;1038,732;6,1;0,04;1,2459624227009545;6,335732529766668
259;4,96;6,48;405,865;6,28;0,95;1,2451343932845873;4,987027044617653
260;4,6;6,48;291,111;6,31;1,44;1,2449964639101387;4,624894617916393
261;4,58;6,47;351,307;6,34;1,33;1,2448585560559107;4,604616350604713
262;5,13;6,57;548,236;6,36;0,82;1,2447666294311028;5,157445505743851
263;5,67;6,51;654,352;6,36;0,56;1,2447666294311028;5,700334506348468
264;6,59;7,32;1334,756;6,25;0,01;1,2452723442015132;6,6261536063096855
265;6,41;6,96;1092,599;6,25;0,07;1,2452723442015132;6,445166102647206
266;5,78;6,54;760,875;6,27;0,27;1,2451803745288554;5,811566761565869
267;5,34;6,49;608,18;6,34;0,58;1,2448585560559107;5,368701159875364
268;4,89;6,48;482,704;6,37;0,95;1,2447206696996256;4,916100999289149
269;5,68;6,57;769,096;6,39;0,37;1,2446287573943944;5,710177168473648
270;5,32;6,48;617,127;6,36;0,52;1,2447666294311028;5,348462005956588
271;5,32;6,5;637,882;6,4;0,53;1,2445828048189873;5,348198709653397
272;5,85;6,71;847,213;6,39;0,34;1,2446287573943944;5,881080358375149
273;6,48;7,06;1181,241;6,37;0,01;1,2447206696996256;6,5145878272788735
274;7,06;7,87;1683,544;6,27;0,01;1,2451803745288554;7,098557324680801
275;7,25;7,87;1671,896;6,13;0,01;1,24582436373846;7,290851460701827
276;6,7;7,25;1284,227;6,08;0,01;1,2460544740499269;6,7381671916006045
277;7,04;7,9;1700,625;6,0;0,01;1,2464227759129405;7,080801531389766
278;6,22;6,97;1129,209;6,0;0,01;1,2464227759129405;6,256049080290389
279;7,29;7,81;1647,872;5,92;0,02;1,2467912324374357;7,332972876662347
280;6,19;6,87;1007,834;6,0;0,14;1,2464227759129405;6,225875210128218
281;5,92;6,57;819,461;5,96;0,11;1,2466069848163561;5,954603693525983
282;6,25;6,71;987,278;5,9;0,01;1,2468833707834206;6,286997178246841
283;5,27;6,49;436,083;5,94;1,05;1,2466991037839226;5,300934867267534
284;3,75;6,47;88,911;6,11;1,51;1,245916400639481;3,7712229293121564
285;3,09;6,48;7,229;6,3;1,51;1,2450424379760532;3,1067609292383307
286;3,22;6,48;22,858;6,36;1,51;1,2447666294311028;3,237227003605303
287;3,14;6,47;10,282;6,42;1,69;1,244490906818457;3,15656590355885
288;2,82;0,79;-10,699;6,61;44,87;1,2436183500956004;2,8342149592742936
289;4,97;4,15;294,37;6,62;17,32;1,243572449770259;4,994991151155815
290;5,18;6,52;465,451;6,61;1,04;1,2436183500956004;5,206111166326539
291;8,41;9,08;2647,207;5,77;0,0;1,247482506736378;8,461138180595501
