Datum (Anlage);Zeit (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
02.01.21;16:50:00;4,92;6,48;432,934;67;65,47;748,42;5,92;1,17
02.01.21;17:00:00;5,14;6,48;509,431;67;59,17;749,07;5,89;0,78
02.01.21;17:10:00;5,54;6,57;720,686;67;65,01;759,51;5,77;0,48
02.01.21;17:20:00;4,96;6,47;426,610;67;64,71;747,80;5,78;1,08
02.01.21;17:30:00;5,70;6,77;792,031;67;63,74;782,58;5,88;0,57
02.01.21;17:40:00;6,06;6,57;858,366;68;87,05;759,36;5,89;0,07
02.01.21;17:50:00;4,69;6,47;348,219;77;76,08;747,77;6,03;1,21
02.01.21;18:00:00;3,99;6,48;150,077;75;52,10;748,28;6,26;1,51
02.01.21;18:10:00;4,16;6,48;175,161;77;75,01;748,32;6,33;1,51
02.01.21;18:20:00;5,51;6,50;662,280;78;57,25;750,60;6,36;0,40
02.01.21;18:30:00;6,06;6,67;932,488;67;63,37;770,58;6,15;0,02
02.01.21;18:40:00;5,72;6,64;829,717;51;69,86;766,79;6,10;0,28
02.01.21;18:50:00;6,23;6,85;984,713;65;77,89;791,66;6,16;0,19
02.01.21;19:00:00;6,30;6,86;1038,732;68;64,32;792,06;6,10;0,04
02.01.21;19:10:00;4,96;6,48;405,865;55;32,30;748,18;6,28;0,95
02.01.21;19:20:00;4,60;6,48;291,111;60;76,91;748,11;6,31;1,44
02.01.21;19:30:00;4,58;6,47;351,307;74;67,34;748,07;6,34;1,33
02.01.21;19:40:00;5,13;6,57;548,236;71;58,20;759,40;6,36;0,82
02.01.21;19:50:00;5,67;6,51;654,352;62;69,67;752,50;6,36;0,56
02.01.21;20:00:00;6,59;7,32;1334,756;62;50,92;846,11;6,25;0,01
02.01.21;20:10:00;6,41;6,96;1092,599;53;59,18;804,03;6,25;0,07
02.01.21;20:20:00;5,78;6,54;760,875;54;56,01;755,54;6,27;0,27
02.01.21;20:30:00;5,34;6,49;608,180;54;48,03;750,20;6,34;0,58
02.01.21;20:40:00;4,89;6,48;482,704;48;48,10;748,54;6,37;0,95
02.01.21;20:50:00;5,68;6,57;769,096;48;45,49;759,04;6,39;0,37
02.01.21;21:00:00;5,32;6,48;617,127;48;49,66;748,98;6,36;0,52
02.01.21;21:10:00;5,32;6,50;637,882;48;38,71;751,19;6,40;0,53
02.01.21;21:20:00;5,85;6,71;847,213;49;49,14;775,60;6,39;0,34
02.01.21;21:30:00;6,48;7,06;1181,241;51;55,81;815,41;6,37;0,01
02.01.21;21:40:00;7,06;7,87;1683,544;61;56,59;909,31;6,27;0,01
02.01.21;21:50:00;7,25;7,87;1671,896;58;60,41;908,89;6,13;0,01
02.01.21;22:00:00;6,70;7,25;1284,227;59;65,32;837,51;6,08;0,01
02.01.21;22:10:00;7,04;7,90;1700,625;57;55,06;912,39;6,00;0,01
02.01.21;22:20:00;6,22;6,97;1129,209;55;50,35;805,01;6,00;0,01
02.01.21;22:30:00;7,29;7,81;1647,872;55;50,73;902,46;5,92;0,02
02.01.21;22:40:00;6,19;6,87;1007,834;54;48,50;793,26;6,00;0,14
02.01.21;22:50:00;5,92;6,57;819,461;54;54,14;758,82;5,96;0,11
02.01.21;23:00:00;6,25;6,71;987,278;54;48,66;775,63;5,90;0,01
02.01.21;23:10:00;5,27;6,49;436,083;44;20,86;749,37;5,94;1,05
02.01.21;23:20:00;3,75;6,47;88,911;31;34,17;747,93;6,11;1,51
02.01.21;23:30:00;3,09;6,48;7,229;46;62,42;748,35;6,30;1,51
02.01.21;23:40:00;3,22;6,48;22,858;56;62,17;748,20;6,36;1,51
02.01.21;23:50:00;3,14;6,47;10,282;57;61,94;747,25;6,42;1,69
03.01.21;00:00:00;2,82;0,79;-10,699;57;59,46;89,30;6,61;44,87
03.01.21;00:10:00;4,97;4,15;294,370;82;106,76;482,10;6,62;17,32
03.01.21;00:20:00;5,18;6,52;465,451;103;100,40;753,07;6,61;1,04
03.01.21;00:30:00;8,41;9,08;2647,207;81;76,31;1048,94;5,77;0,00
03.01.21;00:40:00;7,90;8,57;2206,052;85;86,07;990,26;5,55;0,00
03.01.21;00:50:00;7,27;7,94;1732,200;79;75,64;916,87;5,38;0,00
03.01.21;01:00:00;6,28;6,95;1118,599;74;75,19;803,58;5,38;0,00
03.01.21;01:10:00;5,46;6,60;725,501;74;68,96;762,84;5,70;0,49
03.01.21;01:20:00;4,41;6,48;210,887;70;52,23;748,32;5,89;1,43
03.01.21;01:30:00;5,91;6,73;875,410;78;94,48;778,10;6,03;0,29
03.01.21;01:40:00;5,59;6,65;808,891;84;77,89;768,06;6,03;0,33
03.01.21;01:50:00;6,07;6,75;949,593;84;83,46;779,90;6,15;0,09
03.01.21;02:00:00;5,78;6,63;840,887;84;84,51;765,58;6,27;0,21
03.01.21;02:10:00;4,68;6,48;306,159;98;113,48;748,20;6,43;1,29
03.01.21;02:20:00;5,26;6,48;416,127;106;127,63;748,47;6,50;1,11
03.01.21;02:30:00;6,58;7,15;1219,057;110;92,20;826,11;6,39;0,07
03.01.21;02:40:00;6,94;7,53;1477,261;104;114,71;870,45;6,36;0,01
03.01.21;02:50:00;8,36;8,89;2629,204;97;78,49;1027,53;6,15;0,01
03.01.21;03:00:00;8,86;9,75;3376,892;80;84,52;1126,18;5,48;0,01
03.01.21;03:10:00;8,13;9,04;2583,422;80;81,69;1044,26;5,37;0,01
03.01.21;03:20:00;7,92;8,73;2340,265;80;81,95;1008,78;5,37;0,01
03.01.21;03:30:00;7,49;8,20;1916,863;83;83,50;946,96;5,48;0,02
03.01.21;03:40:00;7,14;7,79;1624,631;86;87,15;899,33;5,59;0,02
03.01.21;03:50:00;8,10;8,87;2501,380;84;79,17;1024,23;5,46;0,02
